bairro,date,H_score,U_t,Fragilidade_t,Risk_score,Risk_level
Centro,2025-11-02,0.5543529377264135,0.042,0.958,0.5310701143419041,yellow
Olaria,2025-11-02,0.5543529377264135,0.0,1.0,0.5543529377264135,yellow
Rio Branco,2025-11-02,0.5543529377264135,0.061,0.9390000000000001,0.5205374085251023,yellow
Fátima,2025-11-02,0.5543529377264135,0.36,0.64,0.35478588014490464,yellow
Mato Grande,2025-11-02,0.5543529377264135,0.16,0.84,0.4656564676901873,yellow
São José,2025-11-02,0.5543529377264135,0.176,0.8240000000000001,0.45678682068656473,yellow
Niterói,2025-11-02,0.5543529377264135,0.047,0.953,0.528298349653272,yellow
Guajuviras,2025-11-02,0.5543529377264135,0.0,1.0,0.5543529377264135,yellow
Brigadeira,2025-11-02,0.5543529377264135,0.345,0.655,0.36310117421080085,yellow
Marechal Rondon,2025-11-02,0.5543529377264135,0.367,0.633,0.3509054095808197,yellow
Igara,2025-11-02,0.5543529377264135,0.06,0.94,0.5210917614628287,yellow
Estância Velha,2025-11-02,0.5543529377264135,0.012,0.988,0.5477007024736965,yellow
Harmonia,2025-11-02,0.5543529377264135,0.133,0.867,0.4806239970088005,yellow
São Luís,2025-11-02,0.5543529377264135,0.36,0.64,0.35478588014490464,yellow
Industrial,2025-11-02,0.5543529377264135,0.368,0.632,0.3503510566430933,yellow
Nossa Senhora das Graças,2025-11-02,0.5543529377264135,0.12,0.88,0.4878305851992439,yellow
Mathias Velho,2025-11-02,0.5543529377264135,0.012,0.988,0.5477007024736965,yellow
Ilha das Garças,2025-11-02,0.5543529377264135,0.0,1.0,0.5543529377264135,yellow
Centro,2025-11-03,0.8864705878145556,0.042,0.958,0.8492388231263442,red
Olaria,2025-11-03,0.8864705878145556,0.0,1.0,0.8864705878145556,red
Rio Branco,2025-11-03,0.8864705878145556,0.061,0.9390000000000001,0.8323958819578677,red
Fátima,2025-11-03,0.8864705878145556,0.36,0.64,0.5673411762013155,yellow
Mato Grande,2025-11-03,0.8864705878145556,0.16,0.84,0.7446352937642267,red
São José,2025-11-03,0.8864705878145556,0.176,0.8240000000000001,0.7304517643591939,red
Niterói,2025-11-03,0.8864705878145556,0.047,0.953,0.8448064701872714,red
Guajuviras,2025-11-03,0.8864705878145556,0.0,1.0,0.8864705878145556,red
Brigadeira,2025-11-03,0.8864705878145556,0.345,0.655,0.580638235018534,yellow
Marechal Rondon,2025-11-03,0.8864705878145556,0.367,0.633,0.5611358820866137,yellow
Igara,2025-11-03,0.8864705878145556,0.06,0.94,0.8332823525456822,red
Estância Velha,2025-11-03,0.8864705878145556,0.012,0.988,0.8758329407607809,red
Harmonia,2025-11-03,0.8864705878145556,0.133,0.867,0.7685699996352197,red
São Luís,2025-11-03,0.8864705878145556,0.36,0.64,0.5673411762013155,yellow
Industrial,2025-11-03,0.8864705878145556,0.368,0.632,0.5602494114987991,yellow
Nossa Senhora das Graças,2025-11-03,0.8864705878145556,0.12,0.88,0.7800941172768089,red
Mathias Velho,2025-11-03,0.8864705878145556,0.012,0.988,0.8758329407607809,red
Ilha das Garças,2025-11-03,0.8864705878145556,0.0,1.0,0.8864705878145556,red
Centro,2025-11-04,0.4572352914249196,0.042,0.958,0.43803140918507294,yellow
Olaria,2025-11-04,0.4572352914249196,0.0,1.0,0.4572352914249196,yellow
Rio Branco,2025-11-04,0.4572352914249196,0.061,0.9390000000000001,0.4293439386479995,yellow
Fátima,2025-11-04,0.4572352914249196,0.36,0.64,0.29263058651194856,green
Mato Grande,2025-11-04,0.4572352914249196,0.16,0.84,0.38407764479693246,yellow
São José,2025-11-04,0.4572352914249196,0.176,0.8240000000000001,0.37676188013413375,yellow
Niterói,2025-11-04,0.4572352914249196,0.047,0.953,0.43574523272794835,yellow
Guajuviras,2025-11-04,0.4572352914249196,0.0,1.0,0.4572352914249196,yellow
Brigadeira,2025-11-04,0.4572352914249196,0.345,0.655,0.29948911588332233,green
Marechal Rondon,2025-11-04,0.4572352914249196,0.367,0.633,0.2894299394719741,green
Igara,2025-11-04,0.4572352914249196,0.06,0.94,0.4298011739394244,yellow
Estância Velha,2025-11-04,0.4572352914249196,0.012,0.988,0.45174846792782053,yellow
Harmonia,2025-11-04,0.4572352914249196,0.133,0.867,0.3964229976654053,yellow
São Luís,2025-11-04,0.4572352914249196,0.36,0.64,0.29263058651194856,green
Industrial,2025-11-04,0.4572352914249196,0.368,0.632,0.28897270418054916,green
Nossa Senhora das Graças,2025-11-04,0.4572352914249196,0.12,0.88,0.40236705645392923,yellow
Mathias Velho,2025-11-04,0.4572352914249196,0.012,0.988,0.45174846792782053,yellow
Ilha das Garças,2025-11-04,0.4572352914249196,0.0,1.0,0.4572352914249196,yellow
Centro,2025-11-05,0.3799411817508585,0.042,0.958,0.3639836521173224,yellow
Olaria,2025-11-05,0.3799411817508585,0.0,1.0,0.3799411817508585,yellow
Rio Branco,2025-11-05,0.3799411817508585,0.061,0.9390000000000001,0.3567647696640562,yellow
Fátima,2025-11-05,0.3799411817508585,0.36,0.64,0.24316235632054944,green
Mato Grande,2025-11-05,0.3799411817508585,0.16,0.84,0.31915059267072116,green
São José,2025-11-05,0.3799411817508585,0.176,0.8240000000000001,0.3130715337627074,green
Niterói,2025-11-05,0.3799411817508585,0.047,0.953,0.36208394620856815,yellow
Guajuviras,2025-11-05,0.3799411817508585,0.0,1.0,0.3799411817508585,yellow
Brigadeira,2025-11-05,0.3799411817508585,0.345,0.655,0.24886147404681233,green
Marechal Rondon,2025-11-05,0.3799411817508585,0.367,0.633,0.24050276804829343,green
Igara,2025-11-05,0.3799411817508585,0.06,0.94,0.35714471084580696,yellow
Estância Velha,2025-11-05,0.3799411817508585,0.012,0.988,0.3753818875698482,yellow
Harmonia,2025-11-05,0.3799411817508585,0.133,0.867,0.3294090045779943,green
São Luís,2025-11-05,0.3799411817508585,0.36,0.64,0.24316235632054944,green
Industrial,2025-11-05,0.3799411817508585,0.368,0.632,0.24012282686654257,green
Nossa Senhora das Graças,2025-11-05,0.3799411817508585,0.12,0.88,0.33434823994075547,yellow
Mathias Velho,2025-11-05,0.3799411817508585,0.012,0.988,0.3753818875698482,yellow
Ilha das Garças,2025-11-05,0.3799411817508585,0.0,1.0,0.3799411817508585,yellow
Centro,2025-11-06,0.3452352946295458,0.042,0.958,0.33073541225510483,yellow
Olaria,2025-11-06,0.3452352946295458,0.0,1.0,0.3452352946295458,yellow
Rio Branco,2025-11-06,0.3452352946295458,0.061,0.9390000000000001,0.32417594165714353,green
Fátima,2025-11-06,0.3452352946295458,0.36,0.64,0.2209505885629093,green
Mato Grande,2025-11-06,0.3452352946295458,0.16,0.84,0.28999764748881846,green
São José,2025-11-06,0.3452352946295458,0.176,0.8240000000000001,0.2844738827747457,green
Niterói,2025-11-06,0.3452352946295458,0.047,0.953,0.3290092357819571,green
Guajuviras,2025-11-06,0.3452352946295458,0.0,1.0,0.3452352946295458,yellow
Brigadeira,2025-11-06,0.3452352946295458,0.345,0.655,0.2261291179823525,green
Marechal Rondon,2025-11-06,0.3452352946295458,0.367,0.633,0.21853394150050248,green
Igara,2025-11-06,0.3452352946295458,0.06,0.94,0.324521176951773,green
