bairro,area_km2,paved_km,drain_km,canal_km,green_km2,pumps_n,dens_pav_km_km2,dreno_km_km2,canal_km_km2,frac_verde,u_cobertura,u_micro,u_macro,u_permeabilidade,U_static,dryness_date,sm_norm,et_scaled,dryness,U_t,Fragilidade_t
Centro,3.039,21.229,0.0,0.209,0.12,0,6.986,0.0,0.069,0.04,0.213,0.0,0.0,0.0,0.043,2025-11-02,0.4519047737121582,0.4380000114440918,0.4930476188659668,0.042,0.958
Olaria,3.1908,4.913,0.0,0.0,0.157,0,1.54,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,2025-11-02,0.4519047737121582,0.4380000114440918,0.4930476188659668,0.0,1.0
Rio Branco,4.3626,17.595,1.068,0.0,0.022,0,4.033,0.245,0.0,0.005,0.002,0.433,0.0,0.0,0.065,2025-11-02,0.41142857926232473,0.32800002098083497,0.4582857208592551,0.061,0.939
Fátima,5.9242,17.196,2.72,0.06,1.139,0,2.903,0.459,0.01,0.192,0.0,0.909,0.0,0.569,0.364,2025-11-02,0.41142857926232473,0.32800002098083497,0.4582857208592551,0.36,0.64
Mato Grande,14.8076,40.499,12.998,2.535,0.621,0,2.735,0.878,0.171,0.042,0.0,1.0,0.04,0.0,0.16,2025-11-02,0.460476177079337,0.46600003242492677,0.5027619276727948,0.16,0.84
São José,5.6866,36.637,0.0,0.0,0.789,0,6.443,0.0,0.0,0.139,0.174,0.0,0.0,0.355,0.177,2025-11-02,0.4519047737121582,0.4380000114440918,0.4930476188659668,0.176,0.824
Niterói,8.1623,61.675,0.0,0.0,0.044,0,7.556,0.0,0.0,0.005,0.254,0.0,0.0,0.0,0.051,2025-11-02,0.41142857926232473,0.32800002098083497,0.4582857208592551,0.047,0.953
Guajuviras,9.4488,37.787,0.0,0.0,0.233,0,3.999,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,2025-11-02,0.4519047737121582,0.4380000114440918,0.4930476188659668,0.0,1.0
Brigadeira,10.5063,12.124,2.599,0.0,2.366,0,1.154,0.247,0.0,0.225,0.0,0.439,0.0,0.701,0.346,2025-11-02,0.4519047737121582,0.4380000114440918,0.4930476188659668,0.345,0.655
Marechal Rondon,5.1868,45.985,0.0,0.795,1.202,0,8.866,0.0,0.153,0.232,0.348,0.0,0.03,0.727,0.368,2025-11-02,0.4519047737121582,0.4380000114440918,0.4930476188659668,0.367,0.633
Igara,3.9916,29.078,0.0,0.0,0.235,0,7.285,0.0,0.0,0.059,0.235,0.0,0.0,0.036,0.061,2025-11-02,0.4519047737121582,0.4380000114440918,0.4930476188659668,0.06,0.94
Estância Velha,5.0223,24.567,0.0,0.0,0.219,0,4.892,0.0,0.0,0.044,0.064,0.0,0.0,0.0,0.013,2025-11-02,0.4519047737121582,0.4380000114440918,0.4930476188659668,0.012,0.988
Harmonia,4.988,9.167,2.24,0.269,0.112,0,1.838,0.449,0.054,0.022,0.0,0.887,0.0,0.0,0.133,2025-11-02,0.460476177079337,0.46600003242492677,0.5027619276727948,0.133,0.867
São Luís,11.4222,50.762,17.582,2.645,1.889,0,4.444,1.539,0.232,0.165,0.032,1.0,0.073,0.462,0.359,2025-11-02,0.460476177079337,0.46600003242492677,0.5027619276727948,0.36,0.64
Industrial,12.4669,20.779,13.885,0.0,2.321,0,1.667,1.114,0.0,0.186,0.0,1.0,0.0,0.545,0.368,2025-11-02,0.460476177079337,0.46600003242492677,0.5027619276727948,0.368,0.632
Nossa Senhora das Graças,11.1569,23.137,4.721,0.523,0.547,0,2.074,0.423,0.047,0.049,0.0,0.829,0.0,0.0,0.124,2025-11-02,0.41142857926232473,0.32800002098083497,0.4582857208592551,0.12,0.88
Mathias Velho,5.9263,19.674,0.0,1.109,0.114,0,3.32,0.0,0.187,0.019,0.0,0.0,0.048,0.0,0.012,2025-11-02,0.460476177079337,0.46600003242492677,0.5027619276727948,0.012,0.988
Ilha das Garças,2.8592,0.0,0.0,0.0,0.027,0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,2025-11-02,0.41142857926232473,0.32800002098083497,0.4582857208592551,0.0,1.0
